"","variables","delta"
"1","var11",24.1215076132989
"2","var17",1.52425579679345
"3","var13",0.359643851880591
"4","weatherVar197",0.281321501608712
"5","weatherVar32",0.232508333552236
"6","weatherVar198",0.192074426425965
"7","geodemVar25",0.182738285575429
"8","weatherVar150",0.174855718964679
"9","weatherVar195",0.171498269000207
"10","geodemVar19",0.16528892186523
"11","weatherVar139",0.156752417713719
"12","geodemVar7",0.145586308184154
"13","weatherVar203",0.145316307236772
"14","weatherVar112",0.135362037105555
"15","weatherVar192",0.133779091160431
"16","weatherVar21",0.131624247099175
"17","weatherVar52",0.129664764040353
"18","weatherVar200",0.124636839286325
"19","weatherVar236",0.121626540245675
"20","weatherVar155",0.121184323958335
"21","weatherVar87",0.118556395049747
"22","geodemVar21",0.113889452835263
"23","geodemVar8",0.112065152945267
"24","geodemVar1",0.111504497658817
"25","weatherVar61",0.106695563877533
"26","weatherVar88",0.106465899277058
"27","geodemVar18",0.101196500766733
"28","weatherVar123",0.0982561525636818
"29","weatherVar156",0.0951903856143872
"30","weatherVar76",0.094018634880026
"31","weatherVar116",0.0900432254442691
"32","weatherVar14",0.0872971543634726
"33","weatherVar73",0.0866997184788509
"34","weatherVar92",0.0862261440715102
"35","weatherVar119",0.0850980755293662
"36","weatherVar27",0.0820839560879101
"37","weatherVar235",0.0794408812780318
"38","geodemVar20",0.0793750144235084
"39","weatherVar83",0.0762147041197849
"40","weatherVar184",0.0756413753229523
"41","weatherVar179",0.0754195356762004
"42","weatherVar65",0.0730447635745115
"43","weatherVar16",0.0727766439856161
"44","weatherVar187",0.069662688511567
"45","weatherVar140",0.067312713310411
"46","weatherVar69",0.0667601629794277
"47","weatherVar168",0.0657869189685378
"48","weatherVar100",0.0641695210481963
"49","weatherVar216",0.063994532369545
"50","geodemVar36",0.0632820488900627
"51","geodemVar11",0.062744631208556
"52","weatherVar162",0.0613288942139505
"53","weatherVar122",0.061085922408818
"54","weatherVar93",0.0610224632210539
"55","geodemVar37",0.0610047730666885
"56","weatherVar36",0.0594286720046817
"57","geodemVar12",0.0589323788757312
"58","weatherVar31",0.0579506058688999
"59","weatherVar210",0.0559532774266067
"60","weatherVar50",0.0558768557805216
"61","weatherVar62",0.0557098613278448
"62","geodemVar16",0.055497748466447
"63","weatherVar7",0.0551543868889759
"64","weatherVar190",0.0526288598667399
"65","weatherVar20",0.0519700569305286
"66","weatherVar58",0.0518154625194747
"67","weatherVar80",0.0513819174235799
"68","weatherVar219",0.0512390208766185
"69","geodemVar24",0.050501508472518
"70","geodemVar29",0.0499283826542261
"71","weatherVar8",0.0498088693027121
